1
 ESATAN-TMS  2025                                                      Page     1
 17 February  2026  11:08:16                              DRAGOSAT_V2_EXEC_ESATAN





  TIMEN =      0.00      MODULE SOLVFM      LOOPCT =    29
 ENBALA = 1.218E-02      ENBALR = 6.E-05


 TABLE OUTPUT WITH ZENTS = 'L,T,QS,QE,QA,QI,C'
 FOR NODES OF ZLABEL = ' '

 ================================================================================


+DRAGOSAT_V2_EXEC_ESATAN                                                         


          NODE   LABEL                              T             QS            

          100    MLI                             132.07          0.56
          101    MLI                             132.29          0.56
          102    MLI                             132.21          0.56
          103    MLI                             132.19          0.56
          104    MLI                             132.15          0.56
          105    MLI                             132.25          0.56
          106    MLI                             132.03          0.56
          107    MLI                             132.27          0.56
          108    MLI                             132.16          0.56
          109    MLI                             132.16          0.56
          110    MLI                             132.11          0.56
          111    MLI                             132.19          0.56
          112    MLI                             132.11          0.56
          113    MLI                             132.14          0.56
          114    MLI                             132.01          0.56
          115    MLI                             132.17          0.56
          150    MLI                              70.82          0.00
          151    MLI                              70.99          0.00
          152    MLI                              71.01          0.00
          153    MLI                              70.80          0.00
          154    MLI                              70.99          0.00
          155    MLI                              71.19          0.00
          156    MLI                              71.18          0.00
          157    MLI                              70.99          0.00
          158    MLI                              70.96          0.00
          159    MLI                              71.16          0.00
          160    MLI                              71.16          0.00
          161    MLI                              70.92          0.00
          162    MLI                              69.75          0.00
          163    MLI                              69.65          0.00
          164    MLI                              69.68          0.00
          165    MLI                              69.73          0.00
          200    MLI                              -9.72          0.01
          201    MLI                              -6.74          0.01
          202    MLI                              -6.37          0.01
          203    MLI                             -11.16          0.01
          204    MLI                              -5.66          0.02
          205    MLI                              -6.26          0.01
          206    MLI                              -5.92          0.01
          207    MLI                              -4.73          0.02
          208    MLI                              -3.57          0.02
          209    MLI                              -3.82          0.02
          210    MLI                              -3.43          0.02
          211    MLI                              -4.89          0.02
          212    MLI                             -10.29          0.02
          213    MLI                              -8.70          0.03
          214    MLI                              -8.68          0.03
          215    MLI                              -8.73          0.02
          250    MLI                              56.33          0.00
          251    MLI                              55.71          0.00
          252    MLI                              55.67          0.00
          253    MLI                              56.10          0.00
          254    MLI                              56.40          0.00
          255    MLI                              55.24          0.00
          256    MLI                              55.21          0.00
          257    MLI                              56.22          0.00
          258    MLI                              56.56          0.00
          259    MLI                              55.40          0.00
          260    MLI                              55.33          0.00
          261    MLI                              56.24          0.00
          262    MLI                              55.20          0.00
          263    MLI                              54.28          0.00
          264    MLI                              54.21          0.00
          265    MLI                              55.06          0.00
          300    MLI                             132.26          0.56
          301    MLI                             132.15          0.56
          302    MLI                             132.21          0.56
          303    MLI                             132.19          0.56
          304    MLI                             132.20          0.56
          305    MLI                             132.33          0.56
          306    MLI                             132.26          0.56
          307    MLI                             132.22          0.56
          308    MLI                             132.02          0.56
          309    MLI                             132.31          0.56
          310    MLI                             132.33          0.56
          311    MLI                             132.18          0.56
          312    MLI                             132.29          0.56
          313    MLI                             132.31          0.56
          314    MLI                             132.20          0.56
          315    MLI                             132.19          0.56
          350    MLI                              70.41          0.00
          351    MLI                              70.53          0.00
          352    MLI                              70.53          0.00
          353    MLI                              70.41          0.00
          354    MLI                              70.45          0.00
          355    MLI                              70.63          0.00
          356    MLI                              70.62          0.00
          357    MLI                              70.47          0.00
          358    MLI                              70.37          0.00
          359    MLI                              70.65          0.00
          360    MLI                              70.63          0.00
          361    MLI                              70.40          0.00
          362    MLI                              69.32          0.00
          363    MLI                              69.23          0.00
          364    MLI                              69.23          0.00
          365    MLI                              69.37          0.00
          400    MLI                             110.36          0.34
          401    MLI                             111.51          0.34
          402    MLI                             111.63          0.34
