1
 ESATAN-TMS  2025                                                      Page     1
 16 February  2026  10:31:22                                  DRAGOSAT_V2_GEO_HOT





  TIMEN =      0.00      MODULE SOLVFM      LOOPCT =    29
 ENBALA = 9.405E-03      ENBALR = 5.E-05


 TABLE OUTPUT WITH ZENTS = 'L,T,QS,QE,QA,QI,C'
 FOR NODES OF ZLABEL = ' '

 ================================================================================


+DRAGOSAT_V2_GEO_HOT                                                             


          NODE   LABEL                              T             QS            

          100    MLI                             132.22          0.56
          101    MLI                             132.33          0.56
          102    MLI                             132.03          0.56
          103    MLI                             132.12          0.56
          104    MLI                             131.90          0.56
          105    MLI                             132.36          0.56
          106    MLI                             132.06          0.56
          107    MLI                             132.38          0.56
          108    MLI                             132.01          0.56
          109    MLI                             132.19          0.56
          110    MLI                             132.13          0.56
          111    MLI                             132.18          0.56
          112    MLI                             132.08          0.56
          113    MLI                             132.23          0.56
          114    MLI                             132.05          0.56
          115    MLI                             132.02          0.56
          150    MLI                              70.87          0.00
          151    MLI                              71.02          0.00
          152    MLI                              70.99          0.00
          153    MLI                              70.76          0.00
          154    MLI                              70.97          0.00
          155    MLI                              71.23          0.00
          156    MLI                              71.19          0.00
          157    MLI                              70.98          0.00
          158    MLI                              70.96          0.00
          159    MLI                              71.17          0.00
          160    MLI                              71.19          0.00
          161    MLI                              70.94          0.00
          162    MLI                              69.87          0.00
          163    MLI                              69.75          0.00
          164    MLI                              69.77          0.00
          165    MLI                              69.71          0.00
          200    MLI                              -9.97          0.01
          201    MLI                              -6.72          0.01
          202    MLI                              -5.54          0.01
          203    MLI                             -11.28          0.01
          204    MLI                              -5.19          0.02
          205    MLI                              -5.80          0.01
          206    MLI                              -5.36          0.01
          207    MLI                              -4.19          0.02
          208    MLI                              -3.14          0.02
          209    MLI                              -3.80          0.02
          210    MLI                              -2.57          0.02
          211    MLI                              -5.61          0.02
          212    MLI                             -11.40          0.02
          213    MLI                              -8.50          0.03
          214    MLI                              -9.23          0.03
          215    MLI                              -9.10          0.02
          250    MLI                              56.38          0.00
          251    MLI                              55.76          0.00
          252    MLI                              55.69          0.00
          253    MLI                              56.10          0.00
          254    MLI                              56.43          0.00
          255    MLI                              55.23          0.00
          256    MLI                              55.22          0.00
          257    MLI                              56.24          0.00
          258    MLI                              56.56          0.00
          259    MLI                              55.39          0.00
          260    MLI                              55.37          0.00
          261    MLI                              56.20          0.00
          262    MLI                              55.15          0.00
          263    MLI                              54.27          0.00
          264    MLI                              54.20          0.00
          265    MLI                              55.07          0.00
          300    MLI                             132.12          0.56
          301    MLI                             132.00          0.56
          302    MLI                             132.38          0.56
          303    MLI                             132.03          0.56
          304    MLI                             132.03          0.56
          305    MLI                             132.31          0.56
          306    MLI                             132.30          0.56
          307    MLI                             131.91          0.56
          308    MLI                             131.90          0.56
          309    MLI                             132.36          0.56
          310    MLI                             132.53          0.56
          311    MLI                             132.11          0.56
          312    MLI                             132.43          0.56
          313    MLI                             132.17          0.56
          314    MLI                             132.15          0.56
          315    MLI                             132.25          0.56
          350    MLI                              70.39          0.00
          351    MLI                              70.52          0.00
          352    MLI                              70.60          0.00
          353    MLI                              70.36          0.00
          354    MLI                              70.43          0.00
          355    MLI                              70.61          0.00
          356    MLI                              70.66          0.00
          357    MLI                              70.44          0.00
          358    MLI                              70.40          0.00
          359    MLI                              70.69          0.00
          360    MLI                              70.64          0.00
          361    MLI                              70.40          0.00
          362    MLI                              69.30          0.00
          363    MLI                              69.26          0.00
          364    MLI                              69.26          0.00
          365    MLI                              69.43          0.00
          400    MLI                             110.49          0.34
          401    MLI                             111.59          0.34
          402    MLI                             111.32          0.34
          403    MLI                             110.68          0.34
          404    MLI                             111.92          0.35
          405    MLI                             111.37          0.34
          406    MLI                             112.19          0.34
          407    MLI                             112.39          0.35
          408    MLI                             112.11          0.35
          409    MLI                             112.36          0.35
          410    MLI                             111.87          0.35
          411    MLI                             112.45          0.35
          412    MLI                             110.41          0.35
          413    MLI                             110.60          0.36
          414    MLI                             110.82          0.36
          415    MLI                             110.14          0.35
          450    MLI                              66.64          0.00
          451    MLI                              66.25          0.00
          452    MLI                              66.27          0.00
          453    MLI                              66.89          0.00
          454    MLI                              66.52          0.00
          455    MLI                              65.66          0.00
          456    MLI                              65.94          0.00
          457    MLI                              66.92          0.00
          458    MLI                              66.44          0.00
          459    MLI                              65.82          0.00
          460    MLI                              65.91          0.00
          461    MLI                              66.89          0.00
          462    MLI                              65.54          0.00
          463    MLI                              64.89          0.00
          464    MLI                              65.07          0.00
          465    MLI                              65.87          0.00
          500    MLI                             151.82          1.21
          501    MLI                             150.12          1.19
          502    MLI                             149.74          1.18
          503    MLI                             151.58          1.21
          504    MLI                             153.83          1.23
          507    MLI                             150.49          1.19
          508    MLI                             153.76          1.23
          511    MLI                             150.73          1.19
          512    MLI                             151.81          1.21
          513    MLI                             151.55          1.20
          514    MLI                             152.14          1.21
          515    MLI                             151.78          1.21
          550    MLI                              67.79          0.00
          551    MLI                              65.95          0.00
          552    MLI                              65.98          0.00
          553    MLI                              67.57          0.00
          554    MLI                              66.18          0.00
          557    MLI                              65.63          0.00
          558    MLI                              66.19          0.00
          561    MLI                              65.81          0.00
          562    MLI                              67.51          0.00
          563    MLI                              66.22          0.00
          564    MLI                              66.15          0.00
          565    MLI                              67.55          0.00
          600    MLI                              86.02          0.20
          601    MLI                              80.88          0.17
          602    MLI                              86.78          0.20
          603    MLI                              85.60          0.20
          604    MLI                              86.14          0.20
          605    MLI                              83.46          0.16
          606    MLI                              89.85          0.19
          607    MLI                              86.88          0.20
          608    MLI                              86.37          0.20
          609    MLI                              83.50          0.15
          610    MLI                              89.22          0.19
          611    MLI                              86.56          0.20
          612    MLI                              86.15          0.20
          613    MLI                              77.99          0.15
          614    MLI                              86.88          0.20
          615    MLI                              85.68          0.20
          650    MLI                              64.54          0.00
          651    MLI                              64.03          0.00
          652    MLI                              64.74          0.00
          653    MLI                              64.51          0.00
          654    MLI                              64.25          0.00
          655    MLI                              63.92          0.00
          656    MLI                              64.67          0.00
          657    MLI                              64.35          0.00
          658    MLI                              64.25          0.00
          659    MLI                              63.90          0.00
          660    MLI                              64.58          0.00
          661    MLI                              64.30          0.00
          662    MLI                              64.46          0.00
          663    MLI                              63.62          0.00
          664    MLI                              64.69          0.00
          665    MLI                              64.44          0.00
        10000    Body_Panel                       63.32          0.00
        10001    Body_Panel                       63.34          0.00
        10002    Body_Panel                       63.34          0.00
        10003    Body_Panel                       63.34          0.00
        10004    Body_Panel                       63.33          0.00
        10005    Body_Panel                       63.33          0.00
        10006    Body_Panel                       63.34          0.00
        10007    Body_Panel                       63.35          0.00
        10008    Body_Panel                       63.35          0.00
        10009    Body_Panel                       63.33          0.00
        10010    Body_Panel                       63.32          0.00
        10011    Body_Panel                       63.33          0.00
        10012    Body_Panel                       63.34          0.00
        10013    Body_Panel                       63.34          0.00
        10014    Body_Panel                       63.33          0.00
        10015    Body_Panel                       63.29          0.00
        10016    Body_Panel                       63.30          0.00
        10017    Body_Panel                       63.31          0.00
        10018    Body_Panel                       63.31          0.00
        10019    Body_Panel                       63.30          0.00
        10020    Body_Panel                       63.28          0.00
        10021    Body_Panel                       63.28          0.00
        10022    Body_Panel                       63.29          0.00
        10023    Body_Panel                       63.29          0.00
        10024    Body_Panel                       63.29          0.00
        10100    Body_Panel                       60.48          0.00
        10101    Body_Panel                       60.10          0.00
